report_date,report_begin_date,report_end_date,published_date,office_state,slug_id,slug_name,report_title,commodity,class,frame,muscle_grade,quality_grade_name,lot_desc,freight,price_unit,age,pregnancy_stage,weight_collect,offspring_weight_est,dressing,yield_grade,head_count,avg_weight_min,avg_weight_max,avg_weight,avg_price_min,avg_price_max,avg_price,weight_break_low,weight_break_high,receipts,receipts_week_ago,receipts_year_ago,final_ind
02/26/2024,02/25/2024,03/02/2024,03/04/2024 05:44:52,WY,2106,AMS_2106,Wyoming Weekly Cattle Auction Summary,Slaughter Cattle,Cows,N/A,N/A,Breaker 75-80%,None,F.O.B.,Per Cwt,,,Actual,,High,N/A,4,1570,1770,1688,110.0,134.0,128.42,,,446,633,841,Final
02/26/2024,02/25/2024,03/02/2024,03/04/2024 05:44:52,WY,2106,AMS_2106,Wyoming Weekly Cattle Auction Summary,Slaughter Cattle,Cows,N/A,N/A,Lean 85-90%,None,F.O.B.,Per Cwt,,,Actual,,High,N/A,3,1090,1135,1118,100.0,101.5,100.83,,,446,633,841,Final
02/26/2024,02/25/2024,03/02/2024,03/04/2024 05:44:52,WY,2106,AMS_2106,Wyoming Weekly Cattle Auction Summary,Slaughter Cattle,Bulls,N/A,N/A,N/A,None,F.O.B.,Per Cwt,,,Actual,,High,1-2,19,1315,2020,1899,115.0,141.0,132.35,,,446,633,841,Final
02/26/2024,02/25/2024,03/02/2024,03/04/2024 05:44:52,WY,2106,AMS_2106,Wyoming Weekly Cattle Auction Summary,Slaughter Cattle,Bulls,N/A,N/A,N/A,Return to Feed,F.O.B.,Per Cwt,,,Actual,,Average,1-2,3,1605,1685,1647,112.0,120.0,116.99,,,446,633,841,Final
02/26/2024,02/25/2024,03/02/2024,03/04/2024 05:44:52,WY,2106,AMS_2106,Wyoming Weekly Cattle Auction Summary,Slaughter Cattle,Cows,N/A,N/A,Boner 80-85%,Return to Feed,F.O.B.,Per Cwt,,,Actual,,Average,N/A,35,1340,1569,1464,112.0,117.0,115.08,,,446,633,841,Final
02/26/2024,02/25/2024,03/02/2024,03/04/2024 05:44:52,WY,2106,AMS_2106,Wyoming Weekly Cattle Auction Summary,Slaughter Cattle,Cows,N/A,N/A,Boner 80-85%,None,F.O.B.,Per Cwt,,,Actual,,Average,N/A,42,1220,1757,1526,100.0,125.0,119.35,,,446,633,841,Final
02/26/2024,02/25/2024,03/02/2024,03/04/2024 05:44:52,WY,2106,AMS_2106,Wyoming Weekly Cattle Auction Summary,Feeder Cattle,Heifers,Medium and Large,1,,None,F.O.B.,Per Cwt,,,Actual,,,,29,367,382,374,329.0,336.0,332.55,350.0,400.0,2834,5041,4087,Final
02/26/2024,02/25/2024,03/02/2024,03/04/2024 05:44:52,WY,2106,AMS_2106,Wyoming Weekly Cattle Auction Summary,Replacement Cattle,Stock Cows,Medium and Large,1,,None,F.O.B.,Per Cwt,Young (2-4 yrs),Open,Actual,N/A,,,2,825,1165,995,110.0,129.0,121.12,,,17,1378,1692,Final
02/26/2024,02/25/2024,03/02/2024,03/04/2024 05:44:52,WY,2106,AMS_2106,Wyoming Weekly Cattle Auction Summary,Feeder Cattle,Heifers,Medium and Large,1,,None,F.O.B.,Per Cwt,,,Actual,,,,113,451,493,476,300.0,325.0,312.11,450.0,500.0,2834,5041,4087,Final
02/26/2024,02/25/2024,03/02/2024,03/04/2024 05:44:52,WY,2106,AMS_2106,Wyoming Weekly Cattle Auction Summary,Feeder Cattle,Heifers,Medium and Large,1,,None,F.O.B.,Per Cwt,,,Actual,,,,80,504,546,532,302.0,322.0,305.78,500.0,550.0,2834,5041,4087,Final
