title,document_date,file_extension,document_url,report_date,slug_id,report_end_date
LSD_MARS_2106,01/31/2020 14:09:30,PDF,/filerepo/sites/default/files/2106/2020-01-24/22869/MARS_2106_00037.pdf,01/24/2020 - 01/30/2020,2106,01/30/2020
LSD_MARS_2106,01/24/2020 18:47:38,PDF,/filerepo/sites/default/files/2106/2020-01-17/22396/MARS_2106_00036_01.pdf,01/17/2020 - 01/23/2020,2106,01/23/2020
LSD_MARS_2106,01/17/2020 17:24:12,PDF,/filerepo/sites/default/files/2106/2020-01-10/21934/MARS_2106_00035.pdf,01/10/2020 - 01/16/2020,2106,01/16/2020
LSD_MARS_2106,01/10/2020 14:22:43,PDF,/filerepo/sites/default/files/2106/2020-01-03/21404/MARS_2106_00034.pdf,01/03/2020 - 01/09/2020,2106,01/09/2020
LSD_MARS_2106,01/03/2020 16:19:34,PDF,/filerepo/sites/default/files/2106/2019-12-27/20908/MARS_2106_00033.pdf,12/27/2019 - 01/02/2020,2106,01/02/2020
AMS_2106,02/28/2020 13:21:20,PDF,/filerepo/sites/default/files/2106/2020-02-21/27335/ams_2106_00041.pdf,02/21/2020 - 02/27/2020,2106,02/27/2020
LSD_MARS_2106,02/21/2020 15:40:12,PDF,/filerepo/sites/default/files/2106/2020-02-14/24829/AMS_2106_00040_01.pdf,02/14/2020 - 02/20/2020,2106,02/20/2020
LSD_MARS_2106,02/14/2020 14:39:55,PDF,/filerepo/sites/default/files/2106/2020-02-07/24094/AMS_2106_00039.pdf,02/07/2020 - 02/13/2020,2106,02/13/2020
LSD_MARS_2106,02/07/2020 15:20:48,PDF,/filerepo/sites/default/files/2106/2020-01-31/23561/MARS_2106_00038.pdf,01/31/2020 - 02/06/2020,2106,02/06/2020
AMS_2106,03/30/2020 16:35:19,PDF,/filerepo/sites/default/files/2106/2020-03-20/165335/ams_2106_00046_01.pdf,03/20/2020 - 03/26/2020,2106,03/26/2020
AMS_2106,03/20/2020 13:51:22,PDF,/filerepo/sites/default/files/2106/2020-03-13/76798/ams_2106_00045.pdf,03/13/2020 - 03/19/2020,2106,03/19/2020
AMS_2106,03/16/2020 13:08:17,PDF,/filerepo/sites/default/files/2106/2020-03-06/57135/ams_2106_00044_01.pdf,03/06/2020 - 03/12/2020,2106,03/12/2020
AMS_2106,03/08/2021 22:21:09,PDF,/filerepo/sites/default/files/2106/2020-02-28/425583/ams_2106_00043_02.pdf,02/28/2020 - 03/05/2020,2106,03/05/2020
AMS_2106,05/01/2020 13:27:08,PDF,/filerepo/sites/default/files/2106/2020-04-24/194336/ams_2106_00051.pdf,04/24/2020 - 04/30/2020,2106,04/30/2020
AMS_2106,04/24/2020 14:45:09,PDF,/filerepo/sites/default/files/2106/2020-04-17/191728/ams_2106_00050.pdf,04/17/2020 - 04/23/2020,2106,04/23/2020
AMS_2106,04/17/2020 13:20:59,PDF,/filerepo/sites/default/files/2106/2020-04-10/173092/ams_2106_00049.pdf,04/10/2020 - 04/16/2020,2106,04/16/2020
AMS_2106,04/10/2020 12:47:24,PDF,/filerepo/sites/default/files/2106/2020-04-03/170313/ams_2106_00048.pdf,04/03/2020 - 04/09/2020,2106,04/09/2020
AMS_2106,04/03/2020 15:01:11,PDF,/filerepo/sites/default/files/2106/2020-03-27/167530/ams_2106_00047.pdf,03/27/2020 - 04/02/2020,2106,04/02/2020
AMS_2106,05/29/2020 15:02:22,PDF,/filerepo/sites/default/files/2106/2020-05-22/206113/ams_2106_00055.pdf,05/22/2020 - 05/28/2020,2106,05/28/2020
AMS_2106,05/22/2020 19:12:24,PDF,/filerepo/sites/default/files/2106/2020-05-15/204320/ams_2106_00054_01.pdf,05/15/2020 - 05/21/2020,2106,05/21/2020
AMS_2106,05/15/2020 13:19:07,PDF,/filerepo/sites/default/files/2106/2020-05-08/199840/ams_2106_00053.pdf,05/08/2020 - 05/14/2020,2106,05/14/2020
AMS_2106,05/08/2020 16:36:36,PDF,/filerepo/sites/default/files/2106/2020-05-01/197221/ams_2106_00052.pdf,05/01/2020 - 05/07/2020,2106,05/07/2020
AMS_2106,06/26/2020 14:06:34,PDF,/filerepo/sites/default/files/2106/2020-06-19/292352/ams_2106_00059.pdf,06/19/2020 - 06/25/2020,2106,06/25/2020
AMS_2106,08/25/2020 19:01:03,PDF,/filerepo/sites/default/files/2106/2020-06-12/319905/ams_2106_00058_01.pdf,06/12/2020 - 06/18/2020,2106,06/18/2020
AMS_2106,08/25/2020 18:54:59,PDF,/filerepo/sites/default/files/2106/2020-06-05/319892/ams_2106_00057_01.pdf,06/05/2020 - 06/11/2020,2106,06/11/2020
AMS_2106,06/05/2020 13:45:14,PDF,/filerepo/sites/default/files/2106/2020-05-29/249466/ams_2106_00056.pdf,05/29/2020 - 06/04/2020,2106,06/04/2020
AMS_2106,07/31/2020 13:44:31,PDF,/filerepo/sites/default/files/2106/2020-07-24/304757/ams_2106_00064.pdf,07/24/2020 - 07/30/2020,2106,07/30/2020
