title,document_date,file_extension,document_url,report_date,slug_id,report_end_date
AMS_1919,08/21/2020 16:56:38,PDF,/filerepo/sites/default/files/1919/2020-01-24/315703/ams_1919_00038_02.pdf,01/24/2020 - 01/30/2020,1919,01/30/2020
LSD_MARS_1919,01/24/2020 20:35:01,PDF,/filerepo/sites/default/files/1919/2020-01-17/22399/MARS_1919_00037.pdf,01/17/2020 - 01/23/2020,1919,01/23/2020
LSD_MARS_1919,01/21/2020 13:23:43,PDF,/filerepo/sites/default/files/1919/2020-01-10/22057/MARS_1919_00036.pdf,01/10/2020 - 01/16/2020,1919,01/16/2020
AMS_1919,05/15/2020 16:03:02,PDF,/filerepo/sites/default/files/1919/2020-01-03/199968/ams_1919_00035_01.pdf,01/03/2020 - 01/09/2020,1919,01/09/2020
AMS_1919,08/21/2020 17:00:43,PDF,/filerepo/sites/default/files/1919/2019-12-27/315706/ams_1919_00068.pdf,12/27/2019 - 01/02/2020,1919,01/02/2020
AMS_1919,05/15/2020 16:47:40,PDF,/filerepo/sites/default/files/1919/2020-02-21/200017/ams_1919_00042_02.pdf,02/21/2020 - 02/27/2020,1919,02/27/2020
LSD_MARS_1919,02/21/2020 20:22:31,PDF,/filerepo/sites/default/files/1919/2020-02-14/24862/AMS_1919_00041.pdf,02/14/2020 - 02/20/2020,1919,02/20/2020
LSD_MARS_1919,02/18/2020 19:36:13,PDF,/filerepo/sites/default/files/1919/2020-02-07/24321/AMS_1919_00040.pdf,02/07/2020 - 02/13/2020,1919,02/13/2020
LSD_MARS_1919,02/07/2020 13:28:08,PDF,/filerepo/sites/default/files/1919/2020-01-31/23541/MARS_1919_00039.pdf,01/31/2020 - 02/06/2020,1919,02/06/2020
AMS_1919,03/27/2020 10:35:23,PDF,/filerepo/sites/default/files/1919/2020-03-20/154294/ams_1919_00046.pdf,03/20/2020 - 03/26/2020,1919,03/26/2020
AMS_1919,05/15/2020 16:56:22,PDF,/filerepo/sites/default/files/1919/2020-03-13/200026/ams_1919_00045_02.pdf,03/13/2020 - 03/19/2020,1919,03/19/2020
AMS_1919,05/15/2020 16:51:48,PDF,/filerepo/sites/default/files/1919/2020-03-06/200023/ams_1919_00044_01.pdf,03/06/2020 - 03/12/2020,1919,03/12/2020
AMS_1919,03/06/2020 12:01:16,PDF,/filerepo/sites/default/files/1919/2020-02-28/30285/ams_1919_00043.pdf,02/28/2020 - 03/05/2020,1919,03/05/2020
AMS_1919,05/01/2020 12:16:35,PDF,/filerepo/sites/default/files/1919/2020-04-24/194296/ams_1919_00051.pdf,04/24/2020 - 04/30/2020,1919,04/30/2020
AMS_1919,04/24/2020 11:40:01,PDF,/filerepo/sites/default/files/1919/2020-04-17/191662/ams_1919_00050.pdf,04/17/2020 - 04/23/2020,1919,04/23/2020
AMS_1919,04/17/2020 11:55:59,PDF,/filerepo/sites/default/files/1919/2020-04-10/173058/ams_1919_00049.pdf,04/10/2020 - 04/16/2020,1919,04/16/2020
AMS_1919,04/10/2020 13:23:11,PDF,/filerepo/sites/default/files/1919/2020-04-03/170340/ams_1919_00048.pdf,04/03/2020 - 04/09/2020,1919,04/09/2020
AMS_1919,11/05/2020 16:47:22,PDF,/filerepo/sites/default/files/1919/2020-03-27/347591/ams_1919_00047_02.pdf,03/27/2020 - 04/02/2020,1919,04/02/2020
AMS_1919,05/29/2020 11:41:42,PDF,/filerepo/sites/default/files/1919/2020-05-22/206028/ams_1919_00055.pdf,05/22/2020 - 05/28/2020,1919,05/28/2020
AMS_1919,05/22/2020 11:26:37,PDF,/filerepo/sites/default/files/1919/2020-05-15/203940/ams_1919_00054.pdf,05/15/2020 - 05/21/2020,1919,05/21/2020
