title,document_date,file_extension,document_url,report_date,slug_id,report_end_date
LSD_MARS_1860,01/31/2020 14:54:07,PDF,/filerepo/sites/default/files/1860/2020-01-24/22874/MARS_1860_00042.pdf,01/24/2020 - 01/30/2020,1860,01/30/2020
LSD_MARS_1860,01/24/2020 13:45:39,PDF,/filerepo/sites/default/files/1860/2020-01-17/22354/MARS_1860_00041.pdf,01/17/2020 - 01/23/2020,1860,01/23/2020
AMS_1860,03/30/2020 18:10:57,PDF,/filerepo/sites/default/files/1860/2020-01-10/165413/ams_1860_00040_02.pdf,01/10/2020 - 01/16/2020,1860,01/16/2020
LSD_MARS_1860,01/10/2020 13:45:19,PDF,/filerepo/sites/default/files/1860/2020-01-03/21374/MARS_1860_00039.pdf,01/03/2020 - 01/09/2020,1860,01/09/2020
LSD_MARS_1860,01/03/2020 15:08:19,PDF,/filerepo/sites/default/files/1860/2019-12-27/20903/MARS_1860_00038.pdf,12/27/2019 - 01/02/2020,1860,01/02/2020
AMS_1860,02/28/2020 15:12:57,PDF,/filerepo/sites/default/files/1860/2020-02-21/27417/ams_1860_00046.pdf,02/21/2020 - 02/27/2020,1860,02/27/2020
LSD_MARS_1860,02/21/2020 16:19:57,PDF,/filerepo/sites/default/files/1860/2020-02-14/24835/AMS_1860_00045.pdf,02/14/2020 - 02/20/2020,1860,02/20/2020
LSD_MARS_1860,02/14/2020 15:51:25,PDF,/filerepo/sites/default/files/1860/2020-02-07/24098/AMS_1860_00044.pdf,02/07/2020 - 02/13/2020,1860,02/13/2020
LSD_MARS_1860,02/07/2020 15:36:53,PDF,/filerepo/sites/default/files/1860/2020-01-31/23566/MARS_1860_00043.pdf,01/31/2020 - 02/06/2020,1860,02/06/2020
AMS_1860,03/27/2020 14:24:49,PDF,/filerepo/sites/default/files/1860/2020-03-20/154404/ams_1860_00050.pdf,03/20/2020 - 03/26/2020,1860,03/26/2020
AMS_1860,03/20/2020 15:12:03,PDF,/filerepo/sites/default/files/1860/2020-03-13/76923/ams_1860_00049.pdf,03/13/2020 - 03/19/2020,1860,03/19/2020
AMS_1860,03/13/2020 14:45:46,PDF,/filerepo/sites/default/files/1860/2020-03-06/46608/ams_1860_00048.pdf,03/06/2020 - 03/12/2020,1860,03/12/2020
AMS_1860,08/18/2020 16:50:54,PDF,/filerepo/sites/default/files/1860/2020-02-28/311205/ams_1860_00047_01.pdf,02/28/2020 - 03/05/2020,1860,03/05/2020
AMS_1860,05/01/2020 15:34:56,PDF,/filerepo/sites/default/files/1860/2020-04-24/194392/ams_1860_00055.pdf,04/24/2020 - 04/30/2020,1860,04/30/2020
AMS_1860,04/24/2020 14:18:06,PDF,/filerepo/sites/default/files/1860/2020-04-17/191723/ams_1860_00054.pdf,04/17/2020 - 04/23/2020,1860,04/23/2020
AMS_1860,04/17/2020 16:19:49,PDF,/filerepo/sites/default/files/1860/2020-04-10/173235/ams_1860_00053_01.pdf,04/10/2020 - 04/16/2020,1860,04/16/2020
AMS_1860,04/10/2020 16:19:15,PDF,/filerepo/sites/default/files/1860/2020-04-03/170516/ams_1860_00052_01.pdf,04/03/2020 - 04/09/2020,1860,04/09/2020
AMS_1860,04/03/2020 14:50:17,PDF,/filerepo/sites/default/files/1860/2020-03-27/167516/ams_1860_00051.pdf,03/27/2020 - 04/02/2020,1860,04/02/2020
AMS_1860,05/29/2020 13:07:56,PDF,/filerepo/sites/default/files/1860/2020-05-22/206057/ams_1860_00059.pdf,05/22/2020 - 05/28/2020,1860,05/28/2020
AMS_1860,05/22/2020 13:12:46,PDF,/filerepo/sites/default/files/1860/2020-05-15/203972/ams_1860_00058.pdf,05/15/2020 - 05/21/2020,1860,05/21/2020
AMS_1860,05/15/2020 12:01:39,PDF,/filerepo/sites/default/files/1860/2020-05-08/199797/ams_1860_00057.pdf,05/08/2020 - 05/14/2020,1860,05/14/2020
AMS_1860,05/08/2020 15:29:55,PDF,/filerepo/sites/default/files/1860/2020-05-01/197132/ams_1860_00056.pdf,05/01/2020 - 05/07/2020,1860,05/07/2020
AMS_1860,06/26/2020 15:53:49,PDF,/filerepo/sites/default/files/1860/2020-06-19/292430/ams_1860_00063.pdf,06/19/2020 - 06/25/2020,1860,06/25/2020
AMS_1860,08/18/2020 16:25:51,PDF,/filerepo/sites/default/files/1860/2020-06-12/311189/ams_1860_00062_01.pdf,06/12/2020 - 06/18/2020,1860,06/18/2020
