slug_id,report_end_date
2006,01/30/2020
2006,01/23/2020
2006,01/16/2020
2006,01/09/2020
2006,02/27/2020
2006,02/20/2020
2006,02/13/2020
2006,02/06/2020
2006,03/26/2020
2006,03/19/2020
2006,03/12/2020
2006,03/05/2020
2006,04/30/2020
2006,04/23/2020
2006,04/16/2020
2006,04/09/2020
2006,04/02/2020
2006,05/28/2020
2006,05/21/2020
2006,05/14/2020
2006,05/07/2020
2006,06/25/2020
2006,06/18/2020
2006,06/11/2020
2006,06/04/2020
2006,07/30/2020
2006,07/23/2020
2006,07/16/2020
2006,07/09/2020
2006,08/27/2020
2006,08/20/2020
2006,08/13/2020
2006,08/06/2020
2006,09/24/2020
2006,09/17/2020
2006,09/10/2020
2006,09/03/2020
2006,10/29/2020
2006,10/22/2020
2006,10/15/2020
2006,10/08/2020
2006,10/01/2020
2006,11/19/2020
2006,11/12/2020
2006,11/05/2020
2006,12/17/2020
2006,12/10/2020
2006,12/03/2020
2006,01/30/2021
2006,01/23/2021
2006,01/16/2021
2006,01/09/2021
2006,02/27/2021
2006,02/20/2021
2006,02/13/2021
2006,02/06/2021
2006,03/27/2021
2006,03/20/2021
2006,03/13/2021
2006,03/06/2021
2006,04/24/2021
2006,04/17/2021
2006,04/10/2021
2006,04/03/2021
2006,05/29/2021
2006,05/22/2021
2006,05/15/2021
2006,05/08/2021
2006,05/01/2021
2006,06/26/2021
2006,06/19/2021
2006,06/12/2021
2006,06/05/2021
2006,07/31/2021
2006,07/24/2021
2006,07/17/2021
2006,07/03/2021
2006,08/28/2021
2006,08/21/2021
2006,08/14/2021
2006,08/07/2021
2006,09/25/2021
2006,09/18/2021
2006,09/11/2021
2006,09/04/2021
2006,10/30/2021
2006,10/23/2021
2006,10/16/2021
2006,10/09/2021
2006,10/02/2021
2006,11/20/2021
2006,11/13/2021
2006,11/06/2021
2006,12/18/2021
2006,12/11/2021
2006,12/04/2021
2006,01/29/2022
2006,01/22/2022
2006,01/15/2022
2006,01/08/2022
2006,02/26/2022
2006,02/19/2022
2006,02/12/2022
2006,02/05/2022
2006,03/26/2022
2006,03/19/2022
2006,03/12/2022
2006,03/05/2022
2006,04/30/2022
2006,04/23/2022
2006,04/16/2022
2006,04/09/2022
2006,04/02/2022
2006,05/28/2022
2006,05/21/2022
2006,05/14/2022
2006,05/07/2022
2006,06/25/2022
2006,06/18/2022
2006,06/11/2022
2006,06/04/2022
2006,07/30/2022
2006,07/23/2022
2006,07/16/2022
2006,07/02/2022
2006,08/27/2022
2006,08/20/2022
2006,08/13/2022
2006,08/06/2022
2006,09/24/2022
2006,09/17/2022
2006,09/10/2022
2006,09/03/2022
2006,10/22/2022
2006,10/15/2022
2006,10/08/2022
2006,10/01/2022
2006,11/19/2022
2006,11/12/2022
2006,11/05/2022
2006,12/24/2022
2006,12/17/2022
2006,12/10/2022
2006,12/03/2022
2006,01/28/2023
2006,01/21/2023
2006,01/14/2023
2006,01/07/2023
2006,02/25/2023
2006,02/18/2023
2006,02/11/2023
2006,02/04/2023
2006,03/25/2023
2006,03/18/2023
2006,03/11/2023
2006,03/04/2023
2006,04/29/2023
2006,04/22/2023
2006,04/15/2023
2006,04/08/2023
2006,04/01/2023
2006,05/27/2023
2006,05/20/2023
2006,05/13/2023
2006,05/06/2023
2006,06/24/2023
2006,06/17/2023
2006,06/10/2023
2006,06/03/2023
2006,07/29/2023
2006,07/22/2023
2006,07/15/2023
2006,07/01/2023
2006,08/26/2023
2006,08/19/2023
2006,08/12/2023
2006,08/05/2023
2006,09/30/2023
2006,09/23/2023
2006,09/16/2023
2006,09/09/2023
2006,09/02/2023
2006,10/28/2023
2006,10/21/2023
2006,10/14/2023
2006,10/07/2023
2006,11/18/2023
2006,11/11/2023
2006,11/04/2023
2006,12/23/2023
2006,12/16/2023
2006,12/09/2023
2006,12/02/2023
2006,01/27/2024
2006,01/20/2024
2006,01/13/2024
2006,02/24/2024
2006,02/17/2024
2006,02/10/2024
2006,02/03/2024
2006,03/16/2024
2006,03/09/2024
2006,03/02/2024
2056,01/30/2020
2056,01/23/2020
2056,01/16/2020
2056,01/09/2020
2056,02/27/2020
2056,02/20/2020
2056,02/13/2020
2056,02/06/2020
2056,03/26/2020
2056,03/19/2020
2056,03/12/2020
2056,03/05/2020
2056,04/30/2020
2056,04/23/2020
2056,04/16/2020
2056,04/09/2020
2056,04/02/2020
2056,05/28/2020
2056,05/21/2020
2056,05/14/2020
2056,05/07/2020
2056,06/25/2020
2056,06/18/2020
2056,06/11/2020
2056,06/04/2020
2056,07/30/2020
2056,07/23/2020
2056,07/16/2020
2056,07/09/2020
2056,07/02/2020
2056,08/27/2020
2056,08/20/2020
2056,08/13/2020
2056,08/06/2020
2056,09/24/2020
2056,09/17/2020
2056,09/10/2020
2056,09/03/2020
2056,10/29/2020
2056,10/22/2020
